"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3545283";"RIVICICLIB";"P 276-00 FREE BASE|P-276-00 FREE BASE|P276-00|Riviciclib";"Small molecule";"2.0";"401.85";"";"";"3.30";"94.14";"6";"3";"0";"3";"N";"0.62";"6.60";"7.42";"2.40";"2.32";"3";"MOL";"0";"28";"6";"3";"0";"401.1030";"1.07";"NEUTRAL";"C21H20ClNO5";"CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C1CO";"QLUYMIVVAYRECT-UHFFFAOYSA-N"
"CHEMBL1195";"PROPOXYCAINE";"PROPOXYCAINE|Propoxycaine";"Small molecule";"4.0";"294.40";"13";"19";"2.56";"64.79";"5";"1";"0";"9";"N";"0.56";"None";"8.96";"2.60";"1.03";"1";"MOL";"0";"21";"5";"2";"0";"294.1943";"-1.01";"BASE";"C16H26N2O3";"CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC";"CAJIGINSTLKQMM-UHFFFAOYSA-N"
"CHEMBL54349";"ALPIDEM";"ALPIDEM|Alpidem|SL 80.0342-00|SL-80.0342-00";"Small molecule";"4.0";"404.34";"23";"76";"5.50";"37.61";"3";"0";"1";"7";"N";"0.52";"None";"5.05";"4.96";"4.96";"3";"MOL";"0";"27";"4";"0";"1";"403.1218";"-1.86";"NEUTRAL";"C21H23Cl2N3O";"CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12";"JRTIDHTUMYMPRU-UHFFFAOYSA-N"
"CHEMBL1200916";"THIORIDAZINE HYDROCHLORIDE";"Mellaril|NSC-186060|THIORIDAZINE HCL|THIORIDAZINE HYDROCHLORIDE|THIORIDAZINE HYDROCHLORIDE INTENSOL";"Small molecule";"4.0";"407.05";"54";"134";"5.89";"6.48";"4";"0";"1";"4";"N";"0.62";"None";"8.93";"5.47";"3.93";"2";"MOL";"0";"25";"2";"0";"1";"370.1537";"-1.03";"BASE";"C21H27ClN2S2";"CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl";"NZFNXWQNBYZDAQ-UHFFFAOYSA-N"
"CHEMBL41306";"CNS-5161";"CNS 5161|CNS-5161";"Small molecule";"-1.0";"351.93";"7";"10";"5.27";"39.12";"3";"2";"1";"4";"N";"0.45";"None";"7.88";"5.16";"4.56";"2";"MOL";"0";"22";"3";"2";"1";"351.0631";"-1.60";"NEUTRAL";"C16H18ClN3S2";"CSc1cccc(N(C)C(=N)Nc2cc(SC)ccc2Cl)c1";"JHVHEDNLONERHY-UHFFFAOYSA-N"
"CHEMBL1201120";"REMIFENTANIL HYDROCHLORIDE";"GI 87084B|GI-87084B|REMIFENTANIL HCL|REMIFENTANIL HYDROCHLORIDE|Ultiva";"Small molecule";"4.0";"412.91";"";"";"2.00";"76.15";"6";"0";"0";"7";"N";"0.68";"None";"7.51";"1.52";"1.16";"1";"MOL";"0";"27";"7";"0";"0";"376.1998";"-0.53";"NEUTRAL";"C20H29ClN2O5";"CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1.Cl";"WFBMIPUMYUHANP-UHFFFAOYSA-N"
"CHEMBL3183193";"CEFMENOXIME HYDROCHLORIDE";"ABBOTT-50192|ABBOTT-50192 (HCL)|CEFMENOXIME HCL|CEFMENOXIME HYDROCHLORIDE|Cefmax|NSC-760352|SCE-1365 (TAKEDA) (BASE)|Tacef";"Small molecule";"4.0";"1059.60";"";"";"-0.87";"190.81";"14";"3";"2";"8";"N";"0.17";"2.73";"3.42";"-0.93";"-3.58";"2";"MOL";"0";"33";"14";"4";"2";"511.0515";"-1.16";"ACID";"C32H35ClN18O10S6";"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.Cl";"MPTNDTIREFCQLK-UNVJPQNDSA-N"
"CHEMBL1200635";"HYDROCORTAMATE HYDROCHLORIDE";"HYDROCORTAMATE HCL|HYDROCORTAMATE HYDROCHLORIDE|Hydrocortamate chloride|Magnacort|NSC-12884";"Small molecule";"4.0";"512.09";"";"";"2.67";"104.14";"7";"2";"0";"7";"N";"0.55";"12.61";"6.43";"2.32";"2.28";"0";"MOL";"0";"34";"7";"2";"0";"475.2934";"1.25";"NEUTRAL";"C27H42ClNO6";"CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C.Cl";"AKQNAIYKSALPKV-OYHXESGYSA-N"
"CHEMBL2108332";"BEPERMINOGENE PERPLASMID";"BEPERMINOGENE PERPLASMID";"Gene";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL4802153";"SONLICROMANOL";"KH-176|SONLICROMANOL";"Small molecule";"2.0";"332.44";"";"";"2.27";"70.59";"4";"3";"0";"2";"N";"0.78";"10.68";"9.49";"2.97";"1.08";"1";"MOL";"0";"24";"5";"3";"0";"332.2100";"0.72";"BASE";"C19H28N2O3";"Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(C(=O)N[C@@H]1CCCNC1)O2";"LZYWLEPSQNXESC-KUHUBIRLSA-N"
